Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
Willie Sudhoff,33,0,13,0
Ted Wilks,33,11,14,25
Stan Williams,33,0,14,12
Rube Foster,33,0,20,28
Ron Perranoski,33,12,34,13
Rick Langford,33,7,0,0
Ray Benge,33,0,0,0
Mike Norris,33,2,15,0
Max Butcher,33,0,0,0
Kid Carsey,33,0,22,0
Jumbo Elliott,33,5,0,0
Joe Borden,33,2,0,0
Jimmy Callahan,33,0,18,14
Jack Harper,33,0,21,11
J.A. Happ+,33,1,23,13
Hisashi Iwakuma+,33,0,0,24
Hank O'Day*,33,6,19,0
George McConnell,33,7,17,18
George Hemming,33,3,17,0
Doug Fister+,33,0,12,0
Dixie Davis,33,2,0,0
Dave Goltz,33,5,12,0
Bobby Witt,33,0,0,11
Bob Muncrief,33,3,0,0
Bert Gallia,33,0,0,0
Al Milnar,33,0,0,0
Willie Mitchell,32,0,0,13
Warren Hacker,32,2,0,0
Richard Dotson,32,1,12,0
Phil Knell,32,3,20,0
Oil Can Boyd,32,0,0,0
Milt Gaston,32,0,0,0
Masahiro Tanaka+,32,0,11,27
Kyle Hendricks+,32,4,11,25
Joe Nathan+,32,0,98,29
Jim Konstanty,32,4,21,14
Jim Bibby,32,8,21,0
Jake Westbrook,32,3,14,0
Jack Billingham,32,5,32,15
Ferdie Schupp,32,5,21,18
Dontrelle Willis,32,8,22,0
Don McMahon,32,0,31,20
Dick Fowler,32,0,0,0
Cal Eldred,32,5,0,0
Bill Stoneman,32,0,0,0
Art Fromme,32,0,11,13
Troy Percival,31,0,85,14
Todd Stottlemyre,31,0,15,13
Spec Shea,31,7,17,10
Shawn Estes,31,0,15,0
Scott Kazmir+,31,5,19,10
Randy Myers,31,9,87,11
Phil Hughes+,31,2,16,0
Pete Schneider,31,0,0,12
Pete Richert,31,0,12,15
Oliver Perez+,31,0,0,0
Mickey McDermott,31,0,0,0
Mat Latos+,31,1,0,14
Joe Shaute,31,0,0,0
Joe Hatten,31,0,0,0
Joe Blanton+,31,1,10,0
Jack Russell,31,9,11,0
Edinson Volquez+,31,0,14,0
Ed Beatin,31,0,12,0
Earl Moseley,31,4,14,11
Dave Burba,31,0,14,11
Connie Johnson,31,0,0,0
Bob Klinger,31,3,0,0
Billy Wagner,31,0,107,24
Al Demaree,31,0,11,18
Yu Darvish+,30,6,29,16
