Season,Name,PA,WAR
2005,Doug Mientkiewicz,313,0.1
1897,Walter Thornton,305,0.1
1997,Todd Hollandsworth,317,0.1
1989,Jose Uribe,497,0.1
1898,Jim Connor,563,0.1
1913,Jimmy Sheckard,330,0.1
1946,Mark Christman,486,0.1
2005,Royce Clayton,573,0.1
1951,Eddie Miksis,473,0.1
1965,Dick Stuart,586,0.1
1976,Jim Spencer,578,0.1
1987,Stan Jefferson,469,0.1
1986,Reggie Williams,338,0.1
2001,Mike Matheny,424,0.1
1912,Ray Morgan,313,0.1
1977,Marty Perez,418,0.1
2006,Jose Vidro,511,0.1
1917,Bruno Betzel,358,0.1
1889,Pete Browning,358,0.1
1998,Mike Lansing,638,0.1
1943,Joe Orengo,327,0.1
1905,Hal Chase,501,0.1
1973,Ken Reitz,446,0.1
1970,Bob Watson,362,0.1
2013,Alexi Amarista,396,0.1
1975,Rico Petrocelli,454,0.1
1962,Willie Kirkland,470,0.1
1948,Gil Hodges,528,0.1
1996,Danny Tartabull,541,0.1
1964,Lee Thomas,636,0.1
1996,Darryl Hamilton,696,0.1
1985,Ron Kittle,417,0.1
2006,Brian Anderson,405,0.1
1925,Doc Gautreau,326,0.1
1978,Hector Cruz,300,0.1
1961,J.C. Martin,300,0.1
1962,Steve Boros,417,0.1
1948,George Vico,584,0.1
1896,Duff Cooley,492,0.1
1903,Hunter Hill,341,0.1
1978,Don Kessinger,480,0.1
1974,Bill Robinson,304,0.1
2015,Alexei Ramirez,622,0.1
1968,Tony Gonzalez,471,0.1
1915,Ivey Wingo,365,0.1
1935,Jo-Jo White,483,0.1
1904,Jimmy Burke,448,0.1
2016,Jace Peterson,408,0.1
1910,Red Dooin,357,0.1
1975,Robin Yount,607,0.1
1888,Bill McClellan,397,0.1
2015,Steve Pearce,325,0.1
1996,Rey Sanchez,324,0.1
1971,Ted Uhlaender,541,0.1
1911,Charley O'Leary,302,0.1
1973,Sandy Alomar,519,0.1
1972,Rick Auerbach,605,0.1
2010,Jose Guillen,577,0.1
1921,Bevo LeBourveau,319,0.1
1947,Mike Tresh,303,0.1
1983,Todd Cruz,475,0.1
2016,Johnny Giavotella,367,0.1
1926,Heinie Mueller,549,0.1
1988,Ivan Calderon,301,0.1
1942,Ron Northey,433,0.1
2014,Brandon Barnes,313,0.1
1926,Phil Todt,662,0.1
1936,Carl Reynolds,318,0.1
1919,Duffy Lewis,602,0.1
2017,Tim Anderson,606,0.1
1933,Marv Owen,613,0.1
2015,Michael Bourn,482,0.1
1962,Ron Santo,679,0.1
1991,Manuel Lee,485,0.1
1990,Kevin Elster,352,0.1
1980,Ken Reitz,561,0.1
1907,Del Howard,366,0.1
1977,Charlie Moore,418,0.1
1913,Sam Agnew,344,0.1
1971,Leron Lee,307,0.1
1986,George Foster,310,0.1
2016,Justin Smoak,341,0.1
1984,Kevin Bass,342,0.1
1961,Bill Tuttle,520,0.1
2017,Chris Davis,524,0.1
1883,Mike Muldoon,388,0.1
2007,Dave Roberts,443,0.1
2000,John Flaherty,418,0.1
1961,Carroll Hardy,312,0.1
2009,Willy Taveras,437,0.1
1992,Bill Pecota,302,0.1
1968,Manny Mota,366,0.1
1986,Mike Marshall,362,0.1
2001,Alfonso Soriano,614,0.1
1884,Dick Phelan,414,0.1
1969,Jim Spencer,422,0.1
2017,Steve Pearce,348,0.1
1960,Curt Flood,443,0.1
1960,Hal Smith,369,0.1
1893,Charlie Ganzel,305,0.1
1943,Kerby Farrell,303,0.1
1967,Leon Wagner,488,0.1
2001,Andres Galarraga,445,0.1
1942,Creepy Crespi,334,0.1
2014,Eric Sogard,329,0.1
1965,Willie Kirkland,337,0.1
1914,John Henry,309,0.1
1963,Al Luplow,333,0.1
1936,Eric McNair,536,0.1
1942,Jimmy Wasdell,463,0.1
1997,Greg Vaughn,422,0.1
1970,Byron Browne,307,0.1
1949,Eddie Lake,307,0.1
2009,Edwin Encarnacion,338,0.1
1910,Jack Graney,499,0.1
1997,Carl Everett,487,0.1
1930,Buster Chatham,463,0.1
2009,Jeff Francoeur,632,0.1
1929,Zack Taylor,352,0.1
1901,Dick Harley,596,0.1
1990,Tom Herr,607,0.1
1976,Earl Williams,415,0.1
1987,Steve Buechele,400,0.1
1991,Dick Schofield,487,0.1
2000,Stan Javier,392,0.1
2014,Xander Bogaerts,594,0.1
1981,Gary Ward,326,0.1
1891,Ed Beecher,341,0.1
2003,David Bell,348,0.1
1932,Urbane Pickering,504,0.1
1929,Bob Meusel,413,0.1
1976,Roy Howell,531,0.1
1998,Lou Collier,379,0.1
1971,Eddie Leon,476,0.1
1957,Jim Gilliam,695,0.1
2002,Brandon Inge,351,0.1
1982,Ellis Valentine,350,0.1
1977,Barry Bonnell,404,0.1
2018,Joe Panik,392,0.1
1913,Les Mann,435,0.1
1987,Gerald Perry,590,0.1
2018,Guillermo Heredia,337,0.1
1919,Hank Severeid,384,0.1
1971,Dick Billings,380,0.1
1989,Rance Mulliniks,309,0.1
1940,Pete Fox,374,0.1
1940,Maurice Van Robays,609,0.1
2015,Sam Fuld,325,0.1
2013,Jose Molina,313,0.1
1975,Hank Aaron,543,0.1
1982,Todd Cruz,519,0.1
2008,Jose Bautista,424,0.1
1884,Sam Crane,320,0.1
1987,Scott Bradley,366,0.1
1948,Emil Verban,445,0.1
1936,Rollie Hemsley,427,0.1
2012,Stephen Drew,327,0.1
2006,Garret Anderson,588,0.1
2011,Jeff Keppinger,400,0.1
1934,Charlie Berry,300,0.1
1987,Chris Brown,317,0.1
1929,George Sisler,686,0.1
1994,Jose Lind,315,0.1
1978,Paul Dade,350,0.1
1899,Frank Bonner,370,0.1
2003,Junior Spivey,408,0.1
1969,Aurelio Rodriguez,606,0.1
1976,Claudell Washington,530,0.1
2011,Mark Reynolds,620,0.1
1977,Rob Andrews,501,0.1
1987,Mike Easler,301,0.1
1950,Dave Philley,682,0.1
1908,Ollie Pickering,407,0.1
1993,Thomas Howard,348,0.1
2000,Al Martin,523,0.1
1954,Vic Power,485,0.1
1979,Rick Bosetti,657,0.1
1999,Karim Garcia,310,0.1
1973,Ed Brinkman,566,0.1
2018,Jay Bruce,361,0.1
1933,Frank Grube,300,0.1
1908,George Moriarty,372,0.1
1973,Gene Clines,337,0.1
2000,Scott Brosius,519,0.1
1905,Lew Ritter,334,0.1
2000,Fred McGriff,664,0.1
1972,Jim Fregosi,382,0.1
1974,Dick McAuliffe,316,0.1
1974,Mike Lum,411,0.1
1985,Rod Carew,518,0.1
2013,Omar Quintanilla,359,0.1
2015,Jean Segura,584,0.1
1917,Swede Risberg,563,0.1
2008,Yuniesky Betancourt,590,0.1
1927,Bill Regan,512,0.1
1932,Liz Funk,494,0.1
1979,Al Cowens,568,0.1
1983,Sixto Lezcano,418,0.1
1899,Doc Casey,602,0.1
1986,Tom Brookens,310,0.1
1971,Denny Doyle,368,0.1
1989,B.J. Surhoff,477,0.1
2003,Einar Diaz,361,0.1
1917,Walt Tragesser,323,0.1
1888,Monk Cline,315,0.1
2012,Casey McGehee,352,0.1
1957,Dick Williams,404,0.1
2013,Daniel Descalso,358,0.1
1957,Al Smith,605,0.1
2003,Scott Hatteberg,622,0.1
1982,Pete Rose,720,0.1
1970,Gail Hopkins,321,0.1
1915,Herbie Moran,505,0.1
1896,George Decker,452,0.1
1896,Chippy McGarr,486,0.1
1987,Wally Backman,335,0.1
1995,Carlos Garcia,402,0.1
1996,Mike Blowers,358,0.1
1960,Gus Bell,554,0.1
2006,Craig Monroe,585,0.1
1977,Jim Tyrone,328,0.1
1936,Phil Cavarretta,486,0.1
1964,John Kennedy,521,0.1
1975,Tommy Davis,488,0.1
2007,Shawn Green,491,0.1
1906,Roy Hartzell,443,0.1
1990,Steve Finley,513,0.1
1970,Jesus Alou,487,0.1
1983,Daryl Sconiers,334,0.1
2002,Todd Hollandsworth,477,0.1
1914,Howie Shanks,561,0.1
1997,Raul Casanova,334,0.1
1908,Simon Nicholls,617,0.1
1989,Omar Vizquel,431,0.1
1964,Bobby Klaus,336,0.1
1927,Randy Reese,381,0.1
1968,Ron Fairly,494,0.1
1988,Chili Davis,667,0.1
1902,Tim Flood,529,0.1
2000,Terry Shumpert,300,0.1
2007,Sean Casey,496,0.1
1929,Sammy Hale,416,0.1
1936,Doc Cramer,713,0.1
2006,Jhonny Peralta,632,0.1
1935,Mel Almada,676,0.1
1999,Dave Martinez,594,0.1
1950,Ray Coleman,422,0.1
1884,Mike Slattery,417,0.1
1993,Mickey Morandini,470,0.1
1969,Ernie Banks,629,0.1
1895,Chippy McGarr,468,0.1
2001,Omar Vizquel,693,0.1
1912,Steve Yerkes,593,0.1
1895,Eddie Burke,435,0.1
1975,Enzo Hernandez,399,0.1
1979,Lou Piniella,491,0.1
1946,Catfish Metkovich,320,0.1
1971,Jimmy Wynn,466,0.1
1987,Tony Bernazard,573,0.1
1966,Jose Tartabull,347,0.1
1925,Ross Youngs,584,0.1
1929,Phil Todt,592,0.1
1930,Lance Richbourg,557,0.1
1944,Bob Finley,306,0.1
1987,Gary Ward,569,0.1
1992,Junior Felix,559,0.1
1908,Tubby Spencer,310,0.1
1910,Al Schweitzer,430,0.1
1992,Mike Scioscia,389,0.1
1933,Johnny Moore,562,0.1
1969,Russ Gibson,307,0.1
1901,Doc Powers,457,0.1
1963,Willie Stargell,328,0.1
1940,Joe Vosmik,431,0.1
1982,Ron LeFlore,357,0.1
1990,Greg Vaughn,429,0.1
1995,John Flaherty,385,0.1
1979,Aurelio Rodriguez,364,0.1
2005,Mike Lowell,558,0.1
1965,Don Lock,482,0.1
2018,Neil Walker,398,0.1
2012,Justin Morneau,570,0.1
2005,Jose Castillo,398,0.1
1917,Tom Long,581,0.1
1974,Rich Coggins,455,0.1
1927,Fresco Thompson,651,0.1
1983,Glenn Hoffman,518,0.1
1897,Eddie Burke,426,0.1
1930,Bobby Reeves,331,0.1
1979,Glenn Adams,362,0.1
2006,Dan Johnson,331,0.1
1888,Pete Hotaling,436,0.1
1986,Joel Skinner,336,0
2015,Melky Cabrera,683,0
2009,Mitch Maier,397,0
2009,Ken Griffey Jr.,454,0
2009,Jarrod Saltalamacchia,310,0
1957,Gus Zernial,478,0
1970,Horace Clarke,732,0
1947,Bama Rowell,414,0
1897,Lave Cross,366,0
1895,Charlie Abbey,566,0
1991,Pat Borders,312,0
2005,Omar Infante,434,0
2018,Dee Gordon,588,0
1996,Craig Paquette,462,0
2005,Johnny Estrada,383,0
2011,Nate McLouth,321,0
2002,Mike Lamb,355,0
1908,Harry Lumley,486,0
1916,Roy Corhan,322,0
2003,Dan Wilson,337,0
2001,Chris Gomez,331,0
2012,John Mayberry,479,0
2003,Abraham Nunez,351,0
1967,Don Kessinger,628,0
1929,Hughie Critz,474,0
1903,George Van Haltren,316,0
2010,Matt Kemp,668,0
1942,Lloyd Waner,305,0
2003,Desi Relaford,557,0
1930,Evar Swanson,323,0
1927,Bill Lamar,355,0
1984,Mickey Rivers,326,0
1960,Bob Will,534,0
1983,Rick Manning,615,0
1996,Jose Hernandez,363,0
2008,Michael Bourn,514,0
2004,Gabe Kapler,310,0
1972,Larry Biittner,422,0
2004,Jason Giambi,322,0
1997,Sean Berry,339,0
1979,Barry Bonnell,412,0
2008,Robinson Cano,634,0
1899,Jack O'Connor,313,0
2000,Henry Rodriguez,410,0
2013,Brendan Ryan,349,0
2010,Aaron Rowand,357,0
1959,Ted Williams,331,0
1989,Mookie Wilson,509,0
2005,Oscar Robles,399,0
2009,Ramon Hernandez,331,0
1958,Jim Rivera,309,0
1975,Mike Ivie,411,0
1928,Red Kress,635,0
1894,Fred Clarke,339,0
1894,Pop Schriver,384,0
1943,Johnny Rucker,537,0
1954,Bob Kennedy,359,0
2018,Kole Calhoun,552,0
2008,Tadahito Iguchi,337,0
2004,Dan Wilson,359,0
1986,Steve Balboni,562,0
1994,John Jaha,338,0
2018,John Hicks,312,0
2009,Jeremy Hermida,491,0
1959,Hank Bauer,380,0
1975,Bobby Tolan,560,0
2009,Alex Cora,308,0
1946,Pete Suder,484,0
1955,Whitey Lockman,627,0
1973,Tim Foli,500,0
2012,Miguel Olivo,323,0
2018,Yairo Munoz,329,0
2007,Marcus Giles,476,0
1965,Joe Azcue,371,0
1986,Rudy Law,341,0
1928,Joe Boley,479,0
1891,Ed Delahanty,584,0
1952,Johnny Pesky,307,0
2015,Yolmer Sanchez,420,0
1998,Sandy Alomar Jr.,438,0
1886,Paul Radford,551,0
2018,Avisail Garcia,385,0
1966,Vic Davalillo,371,0
1985,Larry Parrish,382,0
1887,Cub Stricker,590,0
1892,Charlie Comiskey,587,0
1914,Harry Swacina,649,0
2018,Greg Bird,311,0
2000,Julio Lugo,465,0
1989,Keith Moreland,458,0
2017,Ben Revere,308,0
1922,Nemo Leibold,320,0
2016,Jhonny Peralta,313,0
2010,Aramis Ramirez,507,0
1984,Reggie Jackson,584,0
1984,Ben Oglivie,509,0
1949,Herman Reich,412,0
1895,Jimmy McAleer,580,0
1984,Derrel Thomas,302,0
1948,Eddie Pellagrini,325,0
2012,Luke Scott,344,0
1890,Howard Earl,404,0
1883,Billy Taylor,378,0
1935,Milt Galatzer,302,0
1992,Tony Pena,450,0
1951,Bob Dillinger,364,0
2015,J.J. Hardy,437,0
1956,Sammy White,433,0
1925,Chick Hafey,375,0
1908,Billy Maloney,402,0
1967,Ed Kranepool,516,0
1999,Marquis Grissom,661,0
1913,Josh Devore,308,0
1986,John Russell,348,0
1975,Gary Sutherland,559,0
1955,Bill Wilson,300,0
1998,Carlos Baerga,551,0
1981,Joe Simpson,312,0
1967,Deron Johnson,389,0
1951,Johnny Lipon,549,0
1970,Cookie Rojas,460,0
2013,Starlin Castro,705,0
1995,Wil Cordero,564,0
2001,Rey Ordonez,505,0
1883,Sam Crane,362,0
1937,Frenchy Bordagaray,321,0
1925,George Burns,389,0
1987,Bo Jackson,434,0
2008,Juan Pierre,406,0
1958,Albie Pearson,610,0
1977,Willie Montanez,582,0
1999,Jose Valentin,313,0
1916,Jack Smith,400,0
1944,Jimmy Outlaw,584,0
1996,Bret Boone,568,0
1962,Joe Christopher,314,0
1972,Willie McCovey,304,0
2010,Scott Hairston,336,0
1988,Scott Bradley,359,0
1965,Don Blasingame,450,0
1887,Al Myers,404,0
1976,Tom Veryzer,390,0
1959,Joe DeMaestri,387,0
1971,Don Money,482,0
2001,Carlos Febles,317,0
1948,Hank Schenz,361,0
1914,Ping Bodie,383,0
1946,Don Johnson,353,0
1950,Al Evans,322,0
1964,Tony Taylor,636,0
1995,Jacob Brumfield,445,0
1984,Al Cowens,559,0
1975,Johnny Grubb,625,0
1965,Frank Malzone,400,0
1901,Charlie Hemphill,595,0
2012,Alex Presley,370,0
1934,Sam Rice,367,0
1904,Ollie Pickering,518,0
1982,Joe Simpson,324,0
1902,Gene DeMontreville,519,0
1988,Juan Samuel,685,0
1930,George Sisler,470,0
1910,Cy Seymour,322,0
1936,Jim Bucher,403,0
1908,Joe Birmingham,446,0
1956,Daryl Spencer,534,0
2014,Chris Denorfia,358,0
2011,Willie Bloomquist,381,0
1957,Willie Jones,512,0
2014,Melvin Upton Jr.,582,0
1939,Bill Brubaker,380,0
2003,Bernie Williams,521,0
1904,Mike McCormick,398,0
1920,Patsy Gharrity,485,0
1888,Bill Greenwood,445,0
1982,Ron Oester,595,0
2009,Nick Green,309,0
1953,Ed McGhee,399,0
1934,Mule Haas,422,0
1946,Hal Trosky,334,0
1958,Bill Tuttle,594,0
1990,Ron Kittle,369,0
1964,Fred Whitfield,311,0
1917,Jim Hickman,398,0
2003,Timo Perez,382,0
2011,Ichiro Suzuki,721,0
1949,Bobby Adams,308,0
2018,Lucas Duda,367,0
1889,Bill Hallman,502,0
1969,Jim Davenport,339,0
1902,Billy Lauder,496,0
1964,Chico Ruiz,336,0
2015,Logan Morrison,511,0
2012,Jack Hannahan,318,0
2000,Warren Morris,606,0
1904,John Warner,315,0
1968,Hal Lanier,518,0
1892,Tommy Dowd,619,0
1987,Craig Reynolds,416,0
1998,Wilton Guerrero,426,0
1890,Cub Stricker,603,0
1945,Johnny Tobin,311,0
1980,Mike Heath,329,0
1942,Jim Tabor,554,0
1910,Art Griggs,449,0
1973,Jerry Terrell,475,0
1887,Jim Donnelly,444,0
1921,Lew Fonseca,319,0
2007,Bobby Crosby,374,0
1932,Leo Durocher,504,0
2008,Damion Easley,347,0
1945,Bob Maier,529,0
1883,Jud Birchall,468,0
1933,Dick Porter,563,0
1978,John Mayberry,587,0
1969,Joe Azcue,365,0
1941,Mickey Owen,437,0
1899,Jack O'Brien,516,0
1931,Billy Sullivan,392,0
2002,Jeffrey Hammonds,510,0
1933,Eric McNair,330,0
1988,Brady Anderson,364,0
1996,Jacob Brumfield,426,0
1939,Lou Finney,302,0
1910,Joe Birmingham,406,0
1890,Malachi Kittridge,373,0
1888,Bill Phillips,543,0
2001,Michael Young,429,0
1983,Bill Almon,495,0
1971,Denis Menke,547,0
1910,Jack Dalton,315,0
1904,Boileryard Clarke,301,0
2009,Luis Valbuena,398,0
1964,Bob Chance,439,0
1925,Heinie Sand,575,0
1901,Bobby Lowe,519,0
2011,Mike Aviles,309,0
1928,Wattie Holm,429,0
1985,Rick Schu,457,0
1978,Dave Rader,348,0
1990,Nelson Liriano,400,0
1972,Larry Stahl,331,0
1988,Willie Wilson,628,0
1967,Bobby Wine,400,0
2000,Jose Hernandez,496,0
1959,Hal Smith,332,0
1996,Quinton McCracken,329,0
1884,Chub Collins,330,0
1918,Ossie Vitt,319,0
2004,Orlando Cabrera,673,0
1984,Barry Bonnell,395,0
1954,Davey Williams,601,0
1980,Tom Veryzer,383,0
2010,Ryan Doumit,456,0
1952,Gus Bell,510,0
1939,Bill Nagel,374,0
1983,Von Hayes,392,0
1888,Billy O'Brien,537,0
1992,Phil Plantier,399,0
2000,Tony Womack,659,0
2016,Mitch Moreland,503,0
1934,Gus Mancuso,422,0
1996,Chris Gomez,528,0
1954,George Kell,370,0
1909,Claude Rossman,318,0
1983,Randy Bush,415,0
2010,Troy Glaus,483,0
1979,Enos Cabell,630,0
1956,Foster Castleman,409,0
1929,Hal Rhyne,387,0
1995,Scott Brosius,443,0
1946,Emil Verban,508,0
2018,Evan Gattis,451,0
1969,Ken Berry,327,0
2004,Marco Scutaro,477,0
1966,Cookie Rojas,679,0
1924,Wattie Holm,313,0
1993,Alex Cole,399,0
1946,Birdie Tebbetts,312,0
1937,Skeeter Newsome,489,0
1963,Bernie Allen,466,0
1939,Dario Lodigiani,446,0
1893,Dave Foutz,589,0
1979,Johnnie LeMaster,372,0
1992,Andres Galarraga,347,0
2002,Brent Mayne,370,0
2011,Greg Dobbs,439,0
2010,Omar Vizquel,391,0
2002,Steve Cox,633,0
1898,Joe Sugden,320,0
1970,Glenn Beckert,632,0
1922,Stuffy McInnis,580,0
1977,Rick Monday,456,0
1959,Chico Carrasquel,391,0
1901,Jack O'Brien,456,0
1962,Dick Brown,461,0
1947,Birdie Tebbetts,374,0
1896,Monte Cross,502,0
1903,Rabbit Robinson,411,0
1899,Ossee Schreckengost,453,0
1940,Dick Siebert,637,0
2004,Danny Bautista,582,0
2010,Felipe Lopez,441,0
1966,Roy White,356,0
2017,Brad Miller,407,0
1964,Bob Lillis,351,0
2012,Logan Morrison,334,0
2008,Jason Michaels,321,0
1906,Del Howard,591,0
1975,Danny Thompson,384,0
1999,Michael Barrett,469,0
1931,Billy Urbanski,333,0
1978,Wayne Gross,335,0
1953,Johnny Groth,610,0
1915,Grover Land,304,0
1895,Walt Wilmot,506,0
2008,Jeremy Hermida,559,0
1944,George Kell,556,0
2012,Daniel Descalso,426,0
2008,Adam Lind,349,0
1901,Algie McBride,415,0
1992,Derrick May,371,0
2018,Gerardo Parra,443,0
1917,Charlie Jamieson,428,0
1931,Gus Suhr,312,0
2008,David Dellucci,375,0
1936,Ernie Sulik,453,0
1971,John Stephenson,308,0
2015,Mark Reynolds,432,0
1913,Ivy Olson,411,0
1957,Bob Cerv,371,0
2008,Kenji Johjima,409,0
1980,Mike Ivie,306,0
2001,Jolbert Cabrera,312,0
1986,Jorge Orta,361,0
2017,Rajai Davis,366,0
1993,Cory Snyder,570,0
1983,Amos Otis,384,0
1961,Dick McAuliffe,315,0
2003,Juan Encarnacion,653,0
2009,Mike Lowell,484,0
1982,Johnny Bench,439,0
2008,Lastings Milledge,587,0
1979,Gary Alexander,415,0
1907,John Knight,535,0
1971,Tim Foli,312,-0.1
1927,Wally Pipp,489,-0.1
1924,Stuffy McInnis,611,-0.1
1961,Norm Larker,312,-0.1
1984,Rudy Law,534,-0.1
1956,Elston Howard,316,-0.1
1923,Ray Schalk,442,-0.1
1945,Frenchy Bordagaray,305,-0.1
1905,Rabbit Nill,373,-0.1
2018,Scott Kingery,484,-0.1
1928,Bill Cissell,484,-0.1
1929,Charlie Jamieson,422,-0.1
2007,Wily Mo Pena,317,-0.1
1967,Steve Whitaker,472,-0.1
1962,Charlie Neal,579,-0.1
1955,Ray Katt,355,-0.1
1939,Birdie Tebbetts,376,-0.1
1879,Will White,300,-0.1
1963,Ellis Burton,408,-0.1
1978,Greg Gross,390,-0.1
1953,Bobby Young,593,-0.1
1945,Babe Dahlgren,591,-0.1
1966,Ron Swoboda,381,-0.1
2009,Jason Giambi,359,-0.1
1983,Richie Zisk,318,-0.1
1927,Dick Spalding,494,-0.1
2013,Logan Morrison,333,-0.1
1881,Frank Hankinson,331,-0.1
1939,Lloyd Waner,410,-0.1
2003,Todd Zeile,341,-0.1
1978,Mike Edwards,446,-0.1
2000,Luis Polonia,383,-0.1
1937,Jake Powell,400,-0.1
1970,Joe Azcue,381,-0.1
1991,Tom Brunansky,519,-0.1
2013,John Mayberry,384,-0.1
2016,Carlos Gomez,453,-0.1
1952,Johnny Lipon,432,-0.1
2009,Alex Rios,633,-0.1
1914,Sam Agnew,346,-0.1
1906,Joe Kelley,540,-0.1
2017,Guillermo Heredia,426,-0.1
1939,Rip Russell,594,-0.1
1911,Oscar Stanage,542,-0.1
1950,Don Kolloway,501,-0.1
1889,Al Myers,544,-0.1
1910,Dots Miller,504,-0.1
1941,Rollie Hemsley,309,-0.1
1995,Mike Kingery,402,-0.1
1884,Tom Poorman,393,-0.1
1905,Jimmy Burke,468,-0.1
1942,Bobby Bragan,363,-0.1
2008,David Eckstein,376,-0.1
1903,Charlie Dexter,536,-0.1
1992,Gene Larkin,373,-0.1
1896,Charlie Dexter,427,-0.1
2017,Matt Holliday,427,-0.1
1947,Buddy Lewis,568,-0.1
1936,Frankie Frisch,348,-0.1
1988,Don Baylor,313,-0.1
1959,Reno Bertoia,341,-0.1
1986,Garth Iorg,351,-0.1
1983,Alfredo Griffin,572,-0.1
2005,B.J. Surhoff,321,-0.1
2006,Shea Hillenbrand,566,-0.1
2017,Carlos Gonzalez,534,-0.1
1925,Benny Bengough,308,-0.1
1947,Don Johnson,434,-0.1
1887,Hick Carpenter,521,-0.1
1879,Joe Gerhardt,316,-0.1
1942,Jake Early,394,-0.1
1978,Bob Molinaro,311,-0.1
1939,Rollie Hemsley,432,-0.1
1917,Armando Marsans,386,-0.1
2015,Michael A. Taylor,511,-0.1
2013,Chris Parmelee,333,-0.1
1938,Heinie Mueller,517,-0.1
1966,Larry Stahl,333,-0.1
1964,Leon Wagner,710,-0.1
1904,Deacon McGuire,357,-0.1
1930,Footsie Blair,610,-0.1
1991,Chico Walker,411,-0.1
1952,Dick Groat,415,-0.1
1955,Frank Thomas,581,-0.1
1970,Dal Maxvill,466,-0.1
1935,Burgess Whitehead,358,-0.1
1897,Zeke Wrigley,422,-0.1
1978,Rick Cerone,310,-0.1
1990,Gerald Perry,512,-0.1
1963,Andre Rodgers,601,-0.1
2013,Clete Thomas,322,-0.1
2011,Carl Crawford,539,-0.1
1888,Joe Hornung,449,-0.1
2005,Matt Lawton,585,-0.1
2004,Bill Hall,415,-0.1
1945,Woody Williams,534,-0.1
1983,Gary Matthews,526,-0.1
1968,Mike Ryan,314,-0.1
1940,Morrie Arnovich,383,-0.1
1991,Pete O'Brien,617,-0.1
1903,Joe Stanley,337,-0.1
1963,Jim Hickman,546,-0.1
2005,Victor Diaz,313,-0.1
1949,Pete Castiglione,477,-0.1
1984,Rick Manning,380,-0.1
1992,Dan Pasqua,306,-0.1
1935,Rip Radcliff,682,-0.1
1995,Don Mattingly,507,-0.1
1923,Russ Wrightstone,423,-0.1
1958,Preston Ward,464,-0.1
1965,Eddie Bressoud,327,-0.1
1925,Chick Galloway,564,-0.1
1950,Cliff Mapes,414,-0.1
1937,Ethan Allen,349,-0.1
1987,Randy Bush,349,-0.1
2012,Jordan Pacheco,505,-0.1
1884,Doggie Miller,362,-0.1
1967,Tito Francona,362,-0.1
1976,Chet Lemon,498,-0.1
1906,Bris Lord,492,-0.1
2004,Aaron Miles,566,-0.1
1984,Gerald Perry,419,-0.1
1886,Phil Baker,345,-0.1
1996,Butch Huskey,445,-0.1
1980,Kiko Garcia,340,-0.1
2009,Brandon Moss,424,-0.1
1983,Dave Hostetler,353,-0.1
1960,Pumpsie Green,310,-0.1
1996,Bip Roberts,372,-0.1
2009,Alfonso Soriano,522,-0.1
1984,Chris Chambliss,455,-0.1
1978,Jerry Royster,600,-0.1
1975,Don Kessinger,693,-0.1
1984,Greg Luzinski,477,-0.1
1951,Joe Adcock,422,-0.1
1899,Charlie Irwin,349,-0.1
1943,Gee Walker,445,-0.1
1936,Pep Young,514,-0.1
2009,Edgar Renteria,510,-0.1
1933,Bill Cissell,449,-0.1
1934,Ed Morgan,617,-0.1
1985,Curtis Wilkerson,395,-0.1
1898,Jimmy McAleer,424,-0.1
1911,Bill McKechnie,376,-0.1
1945,Eddie Basinski,362,-0.1
2000,Torii Hunter,358,-0.1
2006,Kevin Millar,503,-0.1
1996,Brad Ausmus,427,-0.1
2005,Luis Gonzalez,442,-0.1
1985,Rafael Santana,564,-0.1
1970,Ivan Murrell,370,-0.1
1938,Pete Fox,675,-0.1
1998,Pat Meares,581,-0.1
1969,Freddie Patek,522,-0.1
2008,Paul Bako,338,-0.1
1998,Scott Spiezio,461,-0.1
1952,Al Zarilla,341,-0.1
1907,Bill Hallman,349,-0.1
1993,Greg Myers,315,-0.1
1930,Liz Funk,584,-0.1
1884,Fred Warner,370,-0.1
1996,Darren Lewis,405,-0.1
1951,Harry Simpson,381,-0.1
1930,Charlie Jamieson,417,-0.1
1992,Kelly Gruber,481,-0.1
1934,Sparky Adams,301,-0.1
1997,Gary DiSarcina,583,-0.1
1955,Frank Baumholtz,309,-0.1
1927,Gus Felix,498,-0.1
2000,Chad Curtis,381,-0.1
1920,Red Shannon,345,-0.1
1954,Dick Kryhoski,330,-0.1
1987,Franklin Stubbs,423,-0.1
2017,Alex Gordon,541,-0.1
1940,Johnny Berardino,559,-0.1
1970,Gil Garrido,389,-0.1
2014,Logan Forsythe,336,-0.1
1912,Howie Shanks,461,-0.1
1977,Julio Gonzalez,413,-0.1
1891,Malachi Kittridge,313,-0.1
2003,Shea Hillenbrand,554,-0.1
2017,Miguel Cabrera,529,-0.1
1883,Dasher Troy,325,-0.1
1976,Charlie Spikes,365,-0.1
2002,Barry Larkin,567,-0.1
1971,Gene Alley,389,-0.1
2006,Jay Gibbons,378,-0.1
1983,Marvell Wynne,415,-0.1
1962,Wes Covington,331,-0.1
1944,Jo-Jo White,407,-0.1
1974,Tommy Harper,504,-0.1
1974,Harmon Killebrew,382,-0.1
1893,George Decker,354,-0.1
1900,Algie McBride,470,-0.1
1962,Chuck Schilling,455,-0.1
2001,Johnny Estrada,324,-0.1
2018,James McCann,457,-0.1
2009,Delwyn Young,388,-0.1
1989,Darnell Coles,574,-0.1
1949,Emil Verban,363,-0.1
1993,Gary DiSarcina,445,-0.1
1928,Jack Rothrock,384,-0.1
